gene	node_type
BAT2	gene
BAT1	gene
ADH1	gene
ADH3	gene
ADH2	gene
ADH4	gene
ADH5	gene
THI3	gene
HSP60	PPI
SPO12	PPI
SRB4	PPI
SSZ1	PPI
KRE9	PPI
COX20	PPI
RVB1	PPI
HSP78	PPI
HSP82	PPI
PHO85	PPI
CDC73	PPI
RPN11	PPI
HSC82	PPI
HSP42	PPI
SSA1	PPI
YBT1	PPI
SSC1	PPI
SSE2	PPI
SSB2	PPI
ESS1	PPI
ILV3	PPI
PRP6	PPI
ACO1	PPI
LEU4	PPI
DHH1	PPI
CDC13	PPI
DJP1	PPI
ILV5	PPI
PDB1	PPI
SSE1	PPI
LAT1	PPI
APE2	PPI
MMS22	PPI
RPN1	PPI
BCH1	PPI
MNN10	PPI
SSN3	PPI
MLP2	PPI
UFE1	PPI
AIM4	PPI
NUP84	PPI
UBP3	PPI
FAR11	PPI
MIA40	PPI
GRH1	PPI
RLP7	PPI
UBI4	PPI
ECM29	PPI
TIP20	PPI
URN1	PPI
NOB1	PPI
SGF29	PPI
ISW2	PPI
SMT3	PPI
SAW1	PPI
RPF2	PPI
TAF12	PPI
MMM1	PPI
TOM1	PPI
RPT5	PPI
SGF73	PPI
PXA2	PPI
BRE5	PPI
TUB1	PPI
SIR2	PPI
RPN10	PPI
ATG18	PPI
GIS2	PPI
SEC1	PPI
YPT7	PPI
MYO4	PPI
MYO1	PPI
DSN1	PPI
USE1	PPI
HFI1	PPI
RAD16	PPI
CWC23	PPI
CHS6	PPI
PRC1	PPI
YDR061W	PPI
YMD8	PPI
FTH1	PPI
RVB2	PPI
SSB1	PPI
CCP1	PPI
SNX3	PPI
SEC13	PPI
PRR1	PPI
UBP8	PPI
YCF1	PPI
LEU1	PPI
FUN19	PPI
CDC43	PPI
GCN5	PPI
GLE1	PPI
NUP192	PPI
MED7	PPI
UBP14	PPI
SEC7	PPI
BUD7	PPI
MOT1	PPI
TAF6	PPI
SEH1	PPI
ECM1	PPI
KHA1	PPI
KIC1	PPI
LEM3	PPI
TAF5	PPI
SRS2	PPI
ESC1	PPI
SUS1	PPI
AOS1	PPI
SUP35	PPI
CSE4	PPI
CMR1	PPI
RFA1	PPI
PHM8	PPI
SPT7	PPI
ECM10	PPI
ESA1	PPI
SEC39	PPI
EMP46	PPI
DPH1	PPI
YBR062C	PPI
HSP26	PPI
SAC1	PPI
BNA5	PPI
NAM7	PPI
MTF2	PPI
PFF1	PPI
TIF1	PPI
PET9	PPI
COX8	PPI
NAF1	PPI
DAD2	PPI
SML1	PPI
SSA2	PPI
PMT1	PPI
NULL	PPI
PEX30	PPI
YCK1	PPI
AIR2	PPI
LAM5	PPI
HRT3	PPI
BUD20	PPI
LCD1	PPI
RPC40	PPI
SLD2	PPI
HYM1	PPI
RFC4	PPI
SSA3	PPI
RPC82	PPI
SSM4	PPI
YPL150W	PPI
CPR6	PPI
RSP5	PPI
CDC42	PPI
NFI1	PPI
FKH2	PPI
MUS81	PPI
ADR1	PPI
SPB4	PPI
MCK1	PPI
SPE4	PPI
ARF3	PPI
SWI6	PPI
RAD26	PPI
GLC7	PPI
ERJ5	PPI
BCK1	PPI
KSP1	PPI
SUI1	PPI
DUN1	PPI
KAP104	PPI
LYS14	PPI
NUP116	PPI
HYR1	PPI
CCT2	PPI
THI2	PPI
SAP30	PPI
FYV8	PPI
CDC7	PPI
DEP1	PPI
SRP54	PPI
PDC2	PPI
CTI6	PPI
