gene	node_type
BAT2	gene
BAT1	gene
LEU4	gene
LEU9	gene
HSP60	PPI
SPO12	PPI
SRB4	PPI
SSZ1	PPI
KRE9	PPI
COX20	PPI
RVB1	PPI
HSP78	PPI
HSP82	PPI
PHO85	PPI
CDC73	PPI
RPN11	PPI
HSC82	PPI
HSP42	PPI
SSA1	PPI
YBT1	PPI
SSC1	PPI
SSE2	PPI
SSB2	PPI
ESS1	PPI
ILV3	PPI
PRP6	PPI
ACO1	PPI
DHH1	PPI
CDC13	PPI
DJP1	PPI
ILV5	PPI
PDB1	PPI
SSE1	PPI
LAT1	PPI
APE2	PPI
MMS22	PPI
RPN1	PPI
LOT5	PPI
HSP104	PPI
PXA1	PPI
MCK1	PPI
ISR1	PPI
MIC60	PPI
AKL1	PPI
SSB1	PPI
RSA3	PPI
MEK1	PPI
PAM18	PPI
RPC82	PPI
TAE1	PPI
NULL	PPI
SWA2	PPI
YPK1	PPI
CCT2	PPI
BEM1	PPI
ULP1	PPI
UBC9	PPI
PFD1	PPI
LAM6	PPI
CIA2	PPI
TOM1	PPI
