gene1	gene	score
LEU4	LEU9	0.444444444444444
LEU9	LEU4	0.444444444444444
BAT2	HSP60	0.222222222222222
BAT2	BAT1	0.222222222222222
BAT2	HSP42	0.222222222222222
BAT2	SSB2	0.222222222222222
BAT1	BAT2	0.222222222222222
BAT1	RPN11	0.222222222222222
LEU4	RPN11	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
LEU9	LEU4	0.197530864197531
LEU4	LEU9	0.197530864197531
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
RPN11	DSK2	0.148148148148148
SSB2	RPN11	0.123456790123457
SSB2	SSE1	0.123456790123457
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
BAT2	SPO12	0.111111111111111
BAT2	SRB4	0.111111111111111
BAT2	SSZ1	0.111111111111111
BAT2	KRE9	0.111111111111111
BAT2	COX20	0.111111111111111
BAT2	RVB1	0.111111111111111
BAT2	HSP78	0.111111111111111
BAT2	HSP82	0.111111111111111
BAT2	PHO85	0.111111111111111
BAT2	CDC73	0.111111111111111
BAT2	RPN11	0.111111111111111
BAT2	HSC82	0.111111111111111
BAT2	SSA1	0.111111111111111
BAT2	YBT1	0.111111111111111
BAT2	SSC1	0.111111111111111
BAT2	SSE2	0.111111111111111
BAT2	ESS1	0.111111111111111
BAT1	ILV3	0.111111111111111
BAT1	BAT1	0.111111111111111
BAT1	COX20	0.111111111111111
BAT1	PRP6	0.111111111111111
BAT1	ACO1	0.111111111111111
BAT1	RVB1	0.111111111111111
BAT1	LEU4	0.111111111111111
BAT1	DHH1	0.111111111111111
BAT1	CDC13	0.111111111111111
BAT1	DJP1	0.111111111111111
BAT1	SSC1	0.111111111111111
BAT1	HSP60	0.111111111111111
BAT1	ILV5	0.111111111111111
BAT1	PDB1	0.111111111111111
BAT1	SSE1	0.111111111111111
BAT1	LAT1	0.111111111111111
BAT1	SSB2	0.111111111111111
BAT1	APE2	0.111111111111111
BAT1	MMS22	0.111111111111111
BAT1	RPN1	0.111111111111111
BAT1	SSA1	0.111111111111111
