gene1	gene	score
LYS20	LYS21	0.333333333333333
LYS21	RPN11	0.333333333333333
LYS21	LYS20	0.333333333333333
LYS9	TRM112	0.333333333333333
RPN11	SCL1	0.333333333333333
RPN11	RAD23	0.333333333333333
RPN11	PRE5	0.333333333333333
RPN11	RPN13	0.333333333333333
RPN11	PRE8	0.333333333333333
RPN11	PRE9	0.333333333333333
RPN11	PRE6	0.333333333333333
RPN11	PUP2	0.333333333333333
RPN11	PRE4	0.296296296296296
RPN11	PUP1	0.296296296296296
TRM112	TRM11	0.296296296296296
TRM112	MTQ2	0.296296296296296
TRM112	TRM9	0.296296296296296
RPN11	UBI4	0.259259259259259
RPN11	PRE7	0.259259259259259
RPN11	PRE2	0.259259259259259
RPN11	PUP3	0.259259259259259
RPN11	PRE3	0.259259259259259
RPN11	DSK2	0.222222222222222
LYS20	LYS20	0.222222222222222
LYS20	SSA1	0.222222222222222
LYS20	RPN11	0.222222222222222
LYS20	SSB1	0.222222222222222
LYS20	SSB2	0.222222222222222
LYS21	SSA1	0.222222222222222
LYS21	SSB2	0.222222222222222
LYS12	JID1	0.222222222222222
LYS12	SEC27	0.222222222222222
LYS12	CHC1	0.222222222222222
LYS12	SSB2	0.222222222222222
LYS9	GET4	0.222222222222222
LYS9	LSM8	0.222222222222222
LYS9	SSA1	0.222222222222222
LYS4	SSZ1	0.222222222222222
LYS4	ZUO1	0.222222222222222
LYS4	HSP104	0.222222222222222
SSB1	SSE1	0.222222222222222
SEC27	COP1	0.222222222222222
SSA1	SUP35	0.197530864197531
SEC27	SEC28	0.197530864197531
LSM8	BRR2	0.197530864197531
LSM8	LSM4	0.197530864197531
LSM8	LSM2	0.197530864197531
RPN11	ECM29	0.185185185185185
RPN11	SSB2	0.185185185185185
RPN11	NAS6	0.185185185185185
TRM112	BUD23	0.185185185185185
GET4	GET3	0.17283950617284
RPN11	RPN14	0.148148148148148
RPN11	URA7	0.148148148148148
RPN11	SSB1	0.148148148148148
RPN11	SSA1	0.148148148148148
RPN11	SSA2	0.148148148148148
RPN11	SSE1	0.148148148148148
SSA1	HSP82	0.148148148148148
SSA1	FES1	0.148148148148148
SSA1	STI1	0.148148148148148
SEC27	SEC21	0.148148148148148
SEC27	SEC26	0.148148148148148
GET4	SGT2	0.148148148148148
LSM8	PRP24	0.148148148148148
LSM8	LSM6	0.148148148148148
LSM8	LSM7	0.148148148148148
SSA1	SSB1	0.123456790123457
SSA1	SGT2	0.123456790123457
SSB1	FES1	0.123456790123457
SSB1	SSA1	0.123456790123457
SSB2	RPN11	0.123456790123457
SSB2	SSE1	0.123456790123457
SEC27	RET2	0.123456790123457
LSM8	LSM3	0.123456790123457
LSM8	LSM5	0.123456790123457
HSP104	SGT2	0.123456790123457
LYS21	RPN11	0.111111111111111
LYS21	LYS20	0.111111111111111
RPN11	RPN11	0.111111111111111
RPN11	OLA1	0.111111111111111
RPN11	HEF3	0.111111111111111
RPN11	ENO2	0.111111111111111
RPN11	TIF1	0.111111111111111
RPN11	FBA1	0.111111111111111
RPN11	ACT1	0.111111111111111
RPN11	ADH1	0.111111111111111
RPN11	THS1	0.111111111111111
RPN11	KRS1	0.111111111111111
RPN11	RPS5	0.111111111111111
RPN11	HSP104	0.111111111111111
RPN11	YEF3	0.111111111111111
RPN11	ERG20	0.111111111111111
RPN11	TEF1	0.111111111111111
RPN11	EFT1	0.111111111111111
RPN11	CDC19	0.111111111111111
RPN11	ASN1	0.111111111111111
RPN11	TEF4	0.111111111111111
RPN11	RPL5	0.111111111111111
RPN11	RPS2	0.111111111111111
RPN11	LEU1	0.111111111111111
RPN11	HSC82	0.111111111111111
RPN11	SEC18	0.111111111111111
RPN11	HSP82	0.111111111111111
RPN11	ENO1	0.111111111111111
RPN11	YHB1	0.111111111111111
RPN11	LYS21	0.111111111111111
RPN11	CAJ1	0.111111111111111
RPN11	FAS2	0.111111111111111
RPN11	HTS1	0.111111111111111
RPN11	GND1	0.111111111111111
RPN11	KAP123	0.111111111111111
RPN11	RPS11A	0.111111111111111
RPN11	FAS1	0.111111111111111
RPN11	PAB1	0.111111111111111
RPN11	PDC1	0.111111111111111
RPN11	ALD6	0.111111111111111
RPN11	RPS0A	0.111111111111111
RPN11	PGK1	0.111111111111111
RPN11	TAL1	0.111111111111111
RPN11	TSA1	0.111111111111111
RPN11	PMA1	0.111111111111111
RPN11	DPS1	0.111111111111111
RPN11	SAM1	0.111111111111111
RPN11	BMH1	0.111111111111111
RPN11	SER1	0.111111111111111
RPN11	SAH1	0.111111111111111
RPN11	TDH1	0.111111111111111
RPN11	DDI1	0.111111111111111
RPN11	SEC53	0.111111111111111
RPN11	CDC60	0.111111111111111
RPN11	VAS1	0.111111111111111
LYS20	LYS21	0.111111111111111
TRM112	LYS9	0.111111111111111
