gene	node_type
GLO1	gene
DLD1	gene
GLO2	gene
GLO4	gene
SSB2	PPI
PHO85	PPI
SSZ1	PPI
SRP54	PPI
ECM10	PPI
SSE1	PPI
SSA2	PPI
VAM6	PPI
YKE2	PPI
SSB1	PPI
PFD1	PPI
MMS22	PPI
PET9	PPI
MIC60	PPI
CDC28	PPI
PTC7	PPI
SSC1	PPI
PTC5	PPI
TGL5	PPI
YDJ1	PPI
HSP82	PPI
TRX1	PPI
GIM3	PPI
UTR2	PPI
HSV2	PPI
HSC82	PPI
YRO2	PPI
UBC7	PPI
YNL092W	PPI
PAF1	PPI
RPN11	PPI
PCL7	PPI
PCL6	PPI
PEP5	PPI
CDH1	PPI
TIM23	PPI
TAH1	PPI
LEO1	PPI
SSE2	PPI
RPN10	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
YPT7	PPI
VPS16	PPI
SWE1	PPI
STB1	PPI
ZIM17	PPI
CNS1	PPI
CPR6	PPI
AHA1	PPI
PEP3	PPI
BUD27	PPI
WHI5	PPI
MSS51	PPI
PPT1	PPI
CUE1	PPI
SPT16	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
FES1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
BMH2	PPI
SUP35	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
SSA1	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
PAH1	PPI
PCL2	PPI
SEC65	PPI
PAC10	PPI
RTT107	PPI
MIC10	PPI
CLB4	PPI
ORC6	PPI
SGT1	PPI
SBA1	PPI
SSM4	PPI
PCL5	PPI
PCL9	PPI
GSY2	PPI
STI1	PPI
GIM5	PPI
RTT101	PPI
COR1	PPI
MIC19	PPI
MIC12	PPI
MIC26	PPI
MIC27	PPI
CLB1	PPI
SWI6	PPI
FIN1	PPI
SWI5	PPI
HHO1	PPI
ASH1	PPI
NDD1	PPI
CLB6	PPI
SEC14	PPI
PAM18	PPI
STE11	PPI
HCH1	PPI
SLT2	PPI
RPO21	PPI
ESA1	PPI
OTU1	PPI
CCR4	PPI
TOD6	PPI
RVS161	PPI
VHS1	PPI
SKP1	PPI
RPL27B	PPI
PRO3	PPI
RNR1	PPI
RPL9A	PPI
LYS5	PPI
CYS4	PPI
YGR210C	PPI
RPL8A	PPI
EFM1	PPI
AAP1	PPI
GRE3	PPI
YIR035C	PPI
MET14	PPI
GFA1	PPI
FRA1	PPI
RPS0B	PPI
FRS1	PPI
STM1	PPI
SKG3	PPI
PWP1	PPI
YEF3	PPI
KAP95	PPI
SFP1	PPI
YMR196W	PPI
TPS3	PPI
UBP15	PPI
PMS1	PPI
RIA1	PPI
FOL1	PPI
SOL1	PPI
TRM112	PPI
SPE2	PPI
YOL057W	PPI
MET22	PPI
SDD3	PPI
CDC33	PPI
MEX67	PPI
RPL7B	PPI
CLN2	PPI
KEL3	PPI
HTS1	PPI
SEC20	PPI
RPN3	PPI
KIN1	PPI
YPT32	PPI
MRPL10	PPI
ATP11	PPI
MRP51	PPI
MRPL40	PPI
SAM2	PPI
APL6	PPI
SEC28	PPI
MTC2	PPI
LSP1	PPI
HTB2	PPI
HHF1	PPI
MAK5	PPI
TUP1	PPI
NOP1	PPI
TMA64	PPI
HTB1	PPI
TFC6	PPI
TFC4	PPI
RSC4	PPI
CDC5	PPI
BRX1	PPI
SAS5	PPI
NAN1	PPI
YBL036C	PPI
PPH22	PPI
RPN9	PPI
GLY1	PPI
UGA1	PPI
PRI1	PPI
MUD2	PPI
CLA4	PPI
BUD3	PPI
SPC72	PPI
DUF1	PPI
VPS52	PPI
YAF9	PPI
PKC1	PPI
OLA1	PPI
TEF1	PPI
NAT1	PPI
RDI1	PPI
DET1	PPI
YDR341C	PPI
RMT2	PPI
TUB2	PPI
FOL2	PPI
ALB1	PPI
SAM1	PPI
DUS3	PPI
VIP1	PPI
CNA1	PPI
CMP2	PPI
DAK1	PPI
RPL6A	PPI
ADE4	PPI
ACC1	PPI
RIB2	PPI
WRS1	PPI
TRM13	PPI
RPS7A	PPI
GLN4	PPI
RPL5	PPI
SRP72	PPI
NEW1	PPI
SCD6	PPI
GPH1	PPI
SHC1	PPI
GLO3	PPI
MNR2	PPI
CCW12	PPI
