gene	node_type
SLC1	gene
ICT1	gene
LOA1	gene
GPD1	gene
GPD2	gene
ERG7	PPI
VAN1	PPI
RER2	PPI
ECM29	PPI
FAT1	PPI
HSP104	PPI
LCB1	PPI
GCN3	PPI
AYR1	PPI
RGR1	PPI
ERG11	PPI
YJU3	PPI
ULP1	PPI
CCT4	PPI
SAC1	PPI
GCN1	PPI
SEC7	PPI
KES1	PPI
ACF2	PPI
GCN20	PPI
KAP123	PPI
SNA3	PPI
JSN1	PPI
SRV2	PPI
TOM1	PPI
YKU80	PPI
YDJ1	PPI
HSP82	PPI
SSB2	PPI
YPS7	PPI
SSB1	PPI
VPH1	PPI
PRP40	PPI
UBC7	PPI
PEP12	PPI
PHO85	PPI
CDC19	PPI
SBA1	PPI
DPM1	PPI
PMA1	PPI
SWE1	PPI
NAP1	PPI
SPT10	PPI
DSN1	PPI
SSA2	PPI
SHR3	PPI
RSP5	PPI
FUS3	PPI
VAM6	PPI
RAD1	PPI
RPN1	PPI
SSC1	PPI
RPN11	PPI
MMS22	PPI
PEX7	PPI
PMT1	PPI
RPN10	PPI
HHT1	PPI
PNC1	PPI
YPK1	PPI
RPT5	PPI
RVB1	PPI
SMT3	PPI
YCK1	PPI
SIZ1	PPI
ZUO1	PPI
VMA2	PPI
ECM10	PPI
HSP26	PPI
MRP8	PPI
CHK1	PPI
RPC82	PPI
SSE1	PPI
AHP1	PPI
HTA2	PPI
SNF1	PPI
PFD1	PPI
SPT21	PPI
DBF2	PPI
SSA1	PPI
HYP2	PPI
GNA1	PPI
UBP14	PPI
RIM11	PPI
STM1	PPI
