gene	node_type
PAN6	gene
CAB1	gene
ECM31	gene
PAN5	gene
VMA6	PPI
SSB1	PPI
SSB2	PPI
LYS14	PPI
YOR142W-A	PPI
SSA1	PPI
SSE1	PPI
CTH1	PPI
MED1	PPI
FAR1	PPI
GRS2	PPI
SER3	PPI
YBR137W	PPI
UBC7	PPI
SSA2	PPI
RPL43A	PPI
HSP82	PPI
DUN1	PPI
GPB2	PPI
THI20	PPI
GCD7	PPI
TEF1	PPI
RIO1	PPI
KAP95	PPI
RPB9	PPI
SOH1	PPI
NMD2	PPI
SRP1	PPI
MUK1	PPI
HSL1	PPI
TEM1	PPI
RPC82	PPI
RPT5	PPI
AKL1	PPI
PRP40	PPI
PHO85	PPI
RPN11	PPI
CDC19	PPI
ECM10	PPI
RPN1	PPI
ATG12	PPI
VHS1	PPI
DED1	PPI
RPN10	PPI
SSM4	PPI
RPS17B	PPI
AOS1	PPI
HSH49	PPI
AUS1	PPI
