gene1	gene	score
PRO2	PTC6	0.555555555555556
PRO3	PRO3	0.333333333333333
PRO3	SEC27	0.333333333333333
PRO1	PRO1	0.333333333333333
SEC27	COP1	0.333333333333333
PTC6	PRO2	0.308641975308642
SEC27	SEC28	0.296296296296296
SEC27	SEC21	0.222222222222222
SEC27	SEC26	0.222222222222222
PRO3	GCD7	0.222222222222222
PRO3	RPN11	0.222222222222222
PRO3	PRO3	0.222222222222222
PRO3	SSB2	0.222222222222222
PRO1	HHF1	0.222222222222222
PRO1	HSP82	0.222222222222222
PRO2	RPN11	0.222222222222222
PRO2	MSH2	0.222222222222222
GCD7	GCD2	0.222222222222222
RPN11	SCL1	0.222222222222222
RPN11	RAD23	0.222222222222222
RPN11	PRE5	0.222222222222222
RPN11	RPN13	0.222222222222222
RPN11	PRE8	0.222222222222222
RPN11	PRE9	0.222222222222222
RPN11	PRE6	0.222222222222222
RPN11	PUP2	0.222222222222222
HHF1	HAT1	0.222222222222222
HSP82	TAH1	0.222222222222222
RPN11	PRE4	0.197530864197531
RPN11	PUP1	0.197530864197531
HHF1	HTZ1	0.197530864197531
HHF1	HAT2	0.197530864197531
HSP82	CNS1	0.197530864197531
MSH2	PMS1	0.197530864197531
MSH2	POL30	0.197530864197531
PTC6	LAT1	0.185185185185185
PTC6	PDA1	0.185185185185185
SEC27	RET2	0.185185185185185
RPN11	UBI4	0.17283950617284
RPN11	PRE7	0.17283950617284
RPN11	PRE2	0.17283950617284
RPN11	PUP3	0.17283950617284
RPN11	PRE3	0.17283950617284
HHF1	GCN5	0.17283950617284
HHF1	ESA1	0.17283950617284
HHF1	BDF1	0.17283950617284
HHF1	PSH1	0.17283950617284
HSP82	HSP82	0.17283950617284
HSP82	PPT1	0.17283950617284
MSH2	MLH1	0.17283950617284
MSH2	EXO1	0.17283950617284
SEC27	RET3	0.148148148148148
GCD7	GCD11	0.148148148148148
RPN11	DSK2	0.148148148148148
HHF1	RTT106	0.148148148148148
HHF1	SPT16	0.148148148148148
HHF1	SIR2	0.148148148148148
HHF1	HTB1	0.148148148148148
HSP82	YDJ1	0.148148148148148
HSP82	SSA2	0.148148148148148
HSP82	SGT1	0.148148148148148
HSP82	SSA1	0.148148148148148
PTC6	LPD1	0.123456790123457
PTC6	PDX1	0.123456790123457
PTC6	PDB1	0.123456790123457
RPN11	ECM29	0.123456790123457
RPN11	SSB2	0.123456790123457
RPN11	NAS6	0.123456790123457
SSB2	RPN11	0.123456790123457
SSB2	SSE1	0.123456790123457
HHF1	RLF2	0.123456790123457
HHF1	HTA2	0.123456790123457
HHF1	CSE4	0.123456790123457
HSP82	STE11	0.123456790123457
HSP82	HCH1	0.123456790123457
HSP82	SLT2	0.123456790123457
PRO3	PRO3	0.111111111111111
PRO3	SEC27	0.111111111111111
SEC27	ARF1	0.111111111111111
SEC27	TEF4	0.111111111111111
SEC27	SSB1	0.111111111111111
SEC27	SEC18	0.111111111111111
SEC27	PRO3	0.111111111111111
PRO1	PRO1	0.111111111111111
PRO3	EFT1	0.111111111111111
PRO3	ESA1	0.111111111111111
PRO3	KAP95	0.111111111111111
PRO3	MEX67	0.111111111111111
PRO3	CMD1	0.111111111111111
PRO3	SSC1	0.111111111111111
PRO3	SSE1	0.111111111111111
PRO3	SSB1	0.111111111111111
PRO3	RPN1	0.111111111111111
PRO3	SSA2	0.111111111111111
PRO3	MAM33	0.111111111111111
PRO3	ATX1	0.111111111111111
PRO3	MUK1	0.111111111111111
PRO3	JEM1	0.111111111111111
PRO3	SAN1	0.111111111111111
PRO3	UBP3	0.111111111111111
PRO3	YKR104W	0.111111111111111
PRO3	PFD1	0.111111111111111
PRO3	NAP1	0.111111111111111
PRO3	SRP1	0.111111111111111
PRO3	SSA1	0.111111111111111
PRO3	SPB4	0.111111111111111
PRO3	BRE5	0.111111111111111
PRO3	SCJ1	0.111111111111111
PRO3	TEM1	0.111111111111111
PRO3	NFT1	0.111111111111111
PRO1	SSB2	0.111111111111111
PRO1	UBP3	0.111111111111111
PRO1	RRP9	0.111111111111111
PRO1	RAD10	0.111111111111111
PRO1	BRE5	0.111111111111111
PRO1	MRPL22	0.111111111111111
PRO1	LTE1	0.111111111111111
PRO1	TFS1	0.111111111111111
PRO1	PRO1	0.111111111111111
PRO1	GLE2	0.111111111111111
PRO1	SUP35	0.111111111111111
PRO1	IST1	0.111111111111111
PRO1	RPN11	0.111111111111111
PRO1	DBF2	0.111111111111111
PRO1	DNA2	0.111111111111111
PRO1	XKS1	0.111111111111111
PRO1	VAM6	0.111111111111111
PRO2	PXA1	0.111111111111111
PRO2	PRO2	0.111111111111111
PRO2	TSR4	0.111111111111111
PRO2	YDJ1	0.111111111111111
PRO2	HSP42	0.111111111111111
PRO2	SSE1	0.111111111111111
PRO2	SSB1	0.111111111111111
PRO2	HSP82	0.111111111111111
PRO2	HSP31	0.111111111111111
PRO2	SSA2	0.111111111111111
PRO2	SEC63	0.111111111111111
PRO2	SSB2	0.111111111111111
PRO2	SSA1	0.111111111111111
PRO2	ESS1	0.111111111111111
PRO2	PEP3	0.111111111111111
PRO2	CIT2	0.111111111111111
PRO2	RPC82	0.111111111111111
PRO2	SSM4	0.111111111111111
PRO2	SEC27	0.111111111111111
PRO2	AUS1	0.111111111111111
ESA1	EAF1	0.111111111111111
ESA1	YAF9	0.111111111111111
CMD1	CNA1	0.111111111111111
SSC1	TIM23	0.111111111111111
SSE1	SSB1	0.111111111111111
SSB1	SSE1	0.111111111111111
RPN1	UBP6	0.111111111111111
RPN1	RPT4	0.111111111111111
RPN1	RPN5	0.111111111111111
VAM6	PEP5	0.111111111111111
SEC63	SEC72	0.111111111111111
PEP3	VPS41	0.111111111111111
GCD7	SUI3	0.0987654320987654
GCD7	MUK1	0.0987654320987654
GCD7	SUI2	0.0987654320987654
RPN11	RPN14	0.0987654320987654
RPN11	URA7	0.0987654320987654
RPN11	SSB1	0.0987654320987654
RPN11	SSA1	0.0987654320987654
RPN11	SSA2	0.0987654320987654
RPN11	SSE1	0.0987654320987654
SSB2	SSE2	0.0987654320987654
SSB2	RPN10	0.0987654320987654
HHF1	CHD1	0.0987654320987654
HHF1	SIR4	0.0987654320987654
HHF1	CKA1	0.0987654320987654
HHF1	ISW1	0.0987654320987654
HHF1	PSE1	0.0987654320987654
HHF1	POB3	0.0987654320987654
HSP82	TDH3	0.0987654320987654
HSP82	HAP1	0.0987654320987654
HSP82	SSE1	0.0987654320987654
HSP82	PIH1	0.0987654320987654
HSP82	LSM12	0.0987654320987654
HSP82	HSC82	0.0987654320987654
ESA1	SWC4	0.0987654320987654
ESA1	EAF3	0.0987654320987654
MEX67	YRA1	0.0987654320987654
MEX67	MTR2	0.0987654320987654
CMD1	MYO2	0.0987654320987654
SSC1	ZIM17	0.0987654320987654
NAP1	KAP114	0.0987654320987654
NAP1	NIS1	0.0987654320987654
SRP1	CSE1	0.0987654320987654
SSA1	SUP35	0.0987654320987654
TEM1	CDC15	0.0987654320987654
TEM1	BUB2	0.0987654320987654
SUP35	SSA1	0.0987654320987654
DNA2	RFA1	0.0987654320987654
VAM6	YPT7	0.0987654320987654
VAM6	VPS16	0.0987654320987654
PEP3	PEP5	0.0987654320987654
RPC82	RPO31	0.0987654320987654
ESA1	HHF1	0.0864197530864198
ESA1	ACT1	0.0864197530864198
ESA1	YNG2	0.0864197530864198
CMD1	CMK1	0.0864197530864198
SSC1	MSS51	0.0864197530864198
RPN1	RPN6	0.0864197530864198
RPN1	RPN3	0.0864197530864198
NAP1	KCC4	0.0864197530864198
NAP1	NAP1	0.0864197530864198
SRP1	CBC2	0.0864197530864198
SRP1	ULP1	0.0864197530864198
LTE1	KEL1	0.0864197530864198
SUP35	PAB1	0.0864197530864198
VAM6	PEP3	0.0864197530864198
PEP3	VAM6	0.0864197530864198
RPC82	MAF1	0.0864197530864198
PRO3	GCD7	0.0740740740740741
PRO3	RPN11	0.0740740740740741
PRO3	PRO3	0.0740740740740741
PRO3	SSB2	0.0740740740740741
SEC27	TRP2	0.0740740740740741
SEC27	GLO3	0.0740740740740741
SEC27	MRPL10	0.0740740740740741
SEC27	WBP1	0.0740740740740741
SEC27	HSP104	0.0740740740740741
SEC27	TVP15	0.0740740740740741
SEC27	SIS1	0.0740740740740741
SEC27	LSP1	0.0740740740740741
SEC27	RPN11	0.0740740740740741
SEC27	HSP82	0.0740740740740741
SEC27	LYS12	0.0740740740740741
SEC27	RVB2	0.0740740740740741
SEC27	ERV25	0.0740740740740741
SEC27	SSA1	0.0740740740740741
SEC27	MDJ1	0.0740740740740741
PRO1	HHF1	0.0740740740740741
PRO1	HSP82	0.0740740740740741
RPN11	RPN11	0.0740740740740741
RPN11	OLA1	0.0740740740740741
RPN11	HEF3	0.0740740740740741
RPN11	ENO2	0.0740740740740741
RPN11	TIF1	0.0740740740740741
RPN11	FBA1	0.0740740740740741
RPN11	ACT1	0.0740740740740741
RPN11	ADH1	0.0740740740740741
RPN11	THS1	0.0740740740740741
RPN11	KRS1	0.0740740740740741
RPN11	RPS5	0.0740740740740741
RPN11	HSP104	0.0740740740740741
RPN11	YEF3	0.0740740740740741
RPN11	ERG20	0.0740740740740741
RPN11	TEF1	0.0740740740740741
RPN11	EFT1	0.0740740740740741
RPN11	CDC19	0.0740740740740741
RPN11	ASN1	0.0740740740740741
RPN11	TEF4	0.0740740740740741
RPN11	RPL5	0.0740740740740741
RPN11	RPS2	0.0740740740740741
RPN11	LEU1	0.0740740740740741
RPN11	HSC82	0.0740740740740741
RPN11	SEC18	0.0740740740740741
RPN11	HSP82	0.0740740740740741
RPN11	ENO1	0.0740740740740741
RPN11	YHB1	0.0740740740740741
RPN11	LYS21	0.0740740740740741
RPN11	CAJ1	0.0740740740740741
RPN11	FAS2	0.0740740740740741
RPN11	HTS1	0.0740740740740741
RPN11	GND1	0.0740740740740741
RPN11	KAP123	0.0740740740740741
RPN11	RPS11A	0.0740740740740741
RPN11	FAS1	0.0740740740740741
RPN11	PAB1	0.0740740740740741
RPN11	PDC1	0.0740740740740741
RPN11	ALD6	0.0740740740740741
RPN11	RPS0A	0.0740740740740741
RPN11	PGK1	0.0740740740740741
RPN11	TAL1	0.0740740740740741
RPN11	TSA1	0.0740740740740741
RPN11	PMA1	0.0740740740740741
RPN11	DPS1	0.0740740740740741
RPN11	SAM1	0.0740740740740741
RPN11	BMH1	0.0740740740740741
RPN11	SER1	0.0740740740740741
RPN11	SAH1	0.0740740740740741
RPN11	TDH1	0.0740740740740741
RPN11	DDI1	0.0740740740740741
RPN11	SEC53	0.0740740740740741
RPN11	CDC60	0.0740740740740741
RPN11	VAS1	0.0740740740740741
SSB2	TPS1	0.0740740740740741
SSB2	TYR1	0.0740740740740741
SSB2	DHH1	0.0740740740740741
SSB2	EFT1	0.0740740740740741
SSB2	HSP82	0.0740740740740741
SSB2	RPC40	0.0740740740740741
SSB2	NOC4	0.0740740740740741
SSB2	TPD3	0.0740740740740741
SSB2	RBG1	0.0740740740740741
SSB2	CKS1	0.0740740740740741
SSB2	ARX1	0.0740740740740741
SSB2	ZUO1	0.0740740740740741
SSB2	SDO1	0.0740740740740741
SSB2	SSC1	0.0740740740740741
SSB2	FES1	0.0740740740740741
SSB2	SSB1	0.0740740740740741
SSB2	RPT5	0.0740740740740741
SSB2	ENP1	0.0740740740740741
SSB2	MRT4	0.0740740740740741
SSB2	SSZ1	0.0740740740740741
SSB2	BMH2	0.0740740740740741
SSB2	SUP35	0.0740740740740741
SSB2	ARD1	0.0740740740740741
SSB2	NAP1	0.0740740740740741
SSB2	AHP1	0.0740740740740741
SSB2	RGP1	0.0740740740740741
SSB2	UTP4	0.0740740740740741
SSB2	UTP6	0.0740740740740741
SSB2	SSA1	0.0740740740740741
SSB2	DBP2	0.0740740740740741
SSB2	LSM12	0.0740740740740741
SSB2	ANR2	0.0740740740740741
SSB2	ILV2	0.0740740740740741
SSB2	RPF2	0.0740740740740741
HHF1	HHF1	0.0740740740740741
HHF1	CAC2	0.0740740740740741
HHF1	MOT1	0.0740740740740741
HHF1	IRC20	0.0740740740740741
