gene	node_type
GUD1	gene
HPT1	gene
SSB1	PPI
YBR284W	PPI
AAP1	PPI
SSA2	PPI
SSA1	PPI
RPP1B	PPI
SSB2	PPI
VPS5	PPI
NAF1	PPI
SRP1	PPI
RPC82	PPI
SSE1	PPI
VPS35	PPI
SUP35	PPI
CSE1	PPI
RPO31	PPI
NHP2	PPI
CBC2	PPI
ULP1	PPI
MAF1	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
PEP8	PPI
RRP6	PPI
SGT2	PPI
RPN11	PPI
STO1	PPI
RET1	PPI
RPC31	PPI
RPC40	PPI
BUD27	PPI
SSE2	PPI
HSP104	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
RPP0	PPI
RPP2B	PPI
RPN10	PPI
VPS29	PPI
NOP10	PPI
RPC25	PPI
RPC53	PPI
SSZ1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
SMT3	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
UBP10	PPI
NUP57	PPI
NUP116	PPI
MLP1	PPI
NSP1	PPI
GPI8	PPI
ESS1	PPI
TOM71	PPI
URA2	PPI
RVB1	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
SSC1	PPI
RPA135	PPI
RTN1	PPI
BSD2	PPI
FPR3	PPI
CNS1	PPI
URE2	PPI
CLN3	PPI
CDC48	PPI
BRE5	PPI
CDC28	PPI
UBP3	PPI
ILV1	PPI
RPN1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
RPP2A	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
GAR1	PPI
SHQ1	PPI
PCT1	PPI
SHE2	PPI
NOP7	PPI
STS1	PPI
THO2	PPI
GSP1	PPI
RPC17	PPI
RPC37	PPI
HTB2	PPI
POL12	PPI
HCH1	PPI
PRP2	PPI
YHR202W	PPI
HTZ1	PPI
SVP26	PPI
SMY2	PPI
PAU12	PPI
NUP2	PPI
ESA1	PPI
YBT1	PPI
MLP2	PPI
PTC4	PPI
EFB1	PPI
EGD1	PPI
PFK1	PPI
GPM1	PPI
THS1	PPI
ASN1	PPI
ASN2	PPI
GLN1	PPI
IMD3	PPI
URA7	PPI
ABF1	PPI
NSR1	PPI
RPS8A	PPI
TDA3	PPI
GSF2	PPI
ORC1	PPI
GIS2	PPI
FLC2	PPI
YBR287W	PPI
PER1	PPI
TSC13	PPI
TSC11	PPI
CDC43	PPI
VAM7	PPI
HOC1	PPI
ORM2	PPI
UBX2	PPI
RBD2	PPI
YPR114W	PPI
CDC33	PPI
GCN3	PPI
HAT2	PPI
MED4	PPI
PHO85	PPI
PRP6	PPI
SIT4	PPI
YSH1	PPI
FRK1	PPI
ECM16	PPI
ACK1	PPI
MRD1	PPI
PDH1	PPI
EXO1	PPI
CHL1	PPI
NOP14	PPI
CFT1	PPI
YMR111C	PPI
ATF1	PPI
RKM3	PPI
ARO1	PPI
YRA1	PPI
ATG19	PPI
PEX29	PPI
SAP185	PPI
TEF4	PPI
ENO2	PPI
TSL1	PPI
TKL1	PPI
DPS1	PPI
GLY1	PPI
ARO4	PPI
CRN1	PPI
TUB3	PPI
SPT6	PPI
RPS7A	PPI
RPS16A	PPI
RPL3	PPI
RPL20A	PPI
YFR016C	PPI
MCA1	PPI
BMS1	PPI
RSC6	PPI
CST26	PPI
PMP1	PPI
YCR043C	PPI
SEC5	PPI
YPQ2	PPI
MNN1	PPI
FET5	PPI
LSB3	PPI
EMP24	PPI
ERV29	PPI
PAN5	PPI
GGA2	PPI
SYG1	PPI
PMT4	PPI
SPT23	PPI
SEC10	PPI
YNR048W	PPI
YIG1	PPI
YMR102C	PPI
MEK1	PPI
PEX7	PPI
TPK1	PPI
PFK26	PPI
BUD3	PPI
LMO1	PPI
IML1	PPI
SLX9	PPI
