gene	node_type
URK1	gene
DAS2	gene
FCY1	gene
FUR1	gene
CDD1	gene
YNK1	gene
ADY3	PPI
HSP104	PPI
GET3	PPI
RPN11	PPI
MUK1	PPI
SRP1	PPI
GCD7	PPI
RPA135	PPI
TEM1	PPI
HHF1	PPI
YJR056C	PPI
JJJ3	PPI
NUP120	PPI
NIS1	PPI
SMT3	PPI
PHO85	PPI
SSB2	PPI
YGR079W	PPI
SRB4	PPI
CRM1	PPI
YKL071W	PPI
KAR3	PPI
HAL5	PPI
RPC82	PPI
YDJ1	PPI
YEF3	PPI
ZUO1	PPI
RVS161	PPI
YCT1	PPI
SSB1	PPI
CAJ1	PPI
SSA1	PPI
SSA2	PPI
SSE1	PPI
ERG3	PPI
URA2	PPI
RVB1	PPI
CDC19	PPI
ATP14	PPI
TUB2	PPI
RPT5	PPI
RPN1	PPI
SPO12	PPI
ATG13	PPI
CDC14	PPI
BRE5	PPI
TUB1	PPI
RVB2	PPI
RPN10	PPI
PSA1	PPI
YSA1	PPI
BUD14	PPI
PTC5	PPI
TAE1	PPI
SEC24	PPI
CAF40	PPI
MDY2	PPI
NAF1	PPI
RPS6A	PPI
RPS22B	PPI
KAP95	PPI
TOM40	PPI
YJU2	PPI
RPS8A	PPI
CMD1	PPI
SEN15	PPI
RPL30	PPI
RPS3	PPI
RPS13	PPI
RPS17B	PPI
RPS16A	PPI
RPS24A	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
GCD2	PPI
RPA12	PPI
HAT1	PPI
PRE4	PPI
PUP1	PPI
CSE1	PPI
RPC40	PPI
RPA43	PPI
RPA49	PPI
CDC15	PPI
BUB2	PPI
HTZ1	PPI
HAT2	PPI
GET4	PPI
GET2	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
CBC2	PPI
ULP1	PPI
GCN5	PPI
ESA1	PPI
BDF1	PPI
PSH1	PPI
DSK2	PPI
RRP6	PPI
GCD11	PPI
RTT106	PPI
SPT16	PPI
SIR2	PPI
HTB1	PPI
SGT2	PPI
SEC22	PPI
ECM29	PPI
NAS6	PPI
STO1	PPI
RPB5	PPI
RPC19	PPI
RLF2	PPI
HTA2	PPI
CSE4	PPI
PCL7	PPI
PCL6	PPI
RGR1	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
PIH1	PPI
RPN9	PPI
RPT1	PPI
CCR4	PPI
MOT2	PPI
TOM20	PPI
CNA1	PPI
SPO21	PPI
SSP1	PPI
RPN14	PPI
URA7	PPI
SUI3	PPI
SUI2	PPI
CHD1	PPI
SIR4	PPI
CKA1	PPI
ISW1	PPI
PSE1	PPI
POB3	PPI
SEH1	PPI
NAP1	PPI
SLX5	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
GAL11	PPI
RPO31	PPI
SUP35	PPI
ATG17	PPI
RPN12	PPI
TOM70	PPI
MYO2	PPI
SRS2	PPI
MED4	PPI
CSE2	PPI
NUP42	PPI
GSP1	PPI
VIK1	PPI
MAF1	PPI
FUS2	PPI
RBL2	PPI
NAS2	PPI
HSM3	PPI
RPN6	PPI
RPN3	PPI
BET1	PPI
CDC36	PPI
NOT5	PPI
NHP2	PPI
CMK1	PPI
DON1	PPI
CPR6	PPI
CBF5	PPI
STI1	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
HSC82	PPI
SEC18	PPI
HSP82	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
PCT1	PPI
SHE2	PPI
NOP7	PPI
STS1	PPI
THO2	PPI
RPB10	PPI
NET1	PPI
RPA34	PPI
SPT5	PPI
RPC10	PPI
CAC2	PPI
MOT1	PPI
IRC20	PPI
