gene	node_type
SPE2	gene
SPE3	gene
SPE4	PPI
SSB2	PPI
RPN11	PPI
AHA1	PPI
MRS1	PPI
TPK3	PPI
SWC7	PPI
HAP2	PPI
CDC14	PPI
HRD1	PPI
BRE5	PPI
RPN10	PPI
UBP3	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
SSE1	PPI
ECM29	PPI
NAS6	PPI
HAP5	PPI
CDC48	PPI
RPN9	PPI
RPT1	PPI
SSE2	PPI
RPN14	PPI
URA7	PPI
SSB1	PPI
SSA1	PPI
SSA2	PPI
HSC82	PPI
SWR1	PPI
HAP3	PPI
RPN12	PPI
UBX2	PPI
RPN6	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
HSP82	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
SSC1	PPI
FES1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
SSZ1	PPI
BMH2	PPI
SUP35	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
HSP104	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
FAS1	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
HMG2	PPI
RPT3	PPI
RPN7	PPI
RPT6	PPI
RPN5	PPI
TPK2	PPI
SIR2	PPI
SLI15	PPI
PRC1	PPI
DER1	PPI
YOS9	PPI
USA1	PPI
RPN2	PPI
RPN3	PPI
ESA1	PPI
OTU1	PPI
CCR4	PPI
TOD6	PPI
RVS161	PPI
VHS1	PPI
SKP1	PPI
RPL27B	PPI
PRO3	PPI
RNR1	PPI
RPL9A	PPI
LYS5	PPI
CYS4	PPI
YGR210C	PPI
RPL8A	PPI
EFM1	PPI
AAP1	PPI
GRE3	PPI
YIR035C	PPI
MET14	PPI
GFA1	PPI
FRA1	PPI
RPS0B	PPI
FRS1	PPI
STM1	PPI
SKG3	PPI
PWP1	PPI
KAP95	PPI
STE11	PPI
SFP1	PPI
YMR196W	PPI
TPS3	PPI
UBP15	PPI
PMS1	PPI
RIA1	PPI
FOL1	PPI
SOL1	PPI
TRM112	PPI
YOL057W	PPI
MET22	PPI
SDD3	PPI
CDC33	PPI
MEX67	PPI
RPL7B	PPI
CLN2	PPI
KEL3	PPI
SEC20	PPI
KIN1	PPI
YPT32	PPI
MSS51	PPI
MRPL10	PPI
ATP11	PPI
MRP51	PPI
MRPL40	PPI
SAM2	PPI
APL6	PPI
SEC28	PPI
MTC2	PPI
LSP1	PPI
HTB2	PPI
HHF1	PPI
MAK5	PPI
TUP1	PPI
NOP1	PPI
TMA64	PPI
HTB1	PPI
TFC6	PPI
TFC4	PPI
RSC4	PPI
CDC5	PPI
BRX1	PPI
SAS5	PPI
NAN1	PPI
YBL036C	PPI
PPH22	PPI
GLY1	PPI
UGA1	PPI
PRI1	PPI
MUD2	PPI
CLA4	PPI
BUD3	PPI
MMS22	PPI
SPC72	PPI
DUF1	PPI
VPS52	PPI
YAF9	PPI
PKC1	PPI
NAT1	PPI
RDI1	PPI
DET1	PPI
YDR341C	PPI
RMT2	PPI
TUB2	PPI
FOL2	PPI
PCL7	PPI
ALB1	PPI
CPR6	PPI
GSY2	PPI
DUS3	PPI
VIP1	PPI
CNA1	PPI
CMP2	PPI
DAK1	PPI
RPL6A	PPI
ADE4	PPI
