gene	node_type
LAG1	gene
LAC1	gene
LCB1	gene
LCB2	gene
TSC10	gene
DSC3	PPI
ERG25	PPI
NUP116	PPI
SEC62	PPI
WBP1	PPI
CHS7	PPI
SPC1	PPI
CIA2	PPI
AGP1	PPI
ERP5	PPI
SWP1	PPI
AVT4	PPI
MNN11	PPI
CSG2	PPI
COS8	PPI
YPL150W	PPI
GPI8	PPI
RCK1	PPI
LIP1	PPI
ECM3	PPI
YPK1	PPI
TAH18	PPI
YAF9	PPI
PTK2	PPI
TSC13	PPI
FET3	PPI
ORM2	PPI
SNL1	PPI
AVT3	PPI
ELO3	PPI
SSB1	PPI
HSP82	PPI
TPO5	PPI
ORM1	PPI
GPI2	PPI
TOM1	PPI
SSE1	PPI
BSD2	PPI
IFA38	PPI
TEM1	PPI
ATG12	PPI
HSH49	PPI
YPL264C	PPI
GPI17	PPI
PKP2	PPI
YDR541C	PPI
SSH1	PPI
ERG11	PPI
TNA1	PPI
ALG5	PPI
PHO88	PPI
TPK1	PPI
GTT1	PPI
SNF1	PPI
PHO86	PPI
GAS3	PPI
YET1	PPI
SSB2	PPI
MID2	PPI
TSC3	PPI
ESF1	PPI
GIM3	PPI
SNA3	PPI
SHQ1	PPI
TUB1	PPI
UBC7	PPI
SAC1	PPI
SLC1	PPI
SAM1	PPI
ECM29	PPI
SAM2	PPI
BMH2	PPI
GEA2	PPI
CRM1	PPI
FKS1	PPI
GFA1	PPI
SRP54	PPI
MIR1	PPI
BMH1	PPI
KAP123	PPI
SSZ1	PPI
KAP104	PPI
LYS12	PPI
YHR020W	PPI
AAD3	PPI
YPT7	PPI
RPL10	PPI
TPS1	PPI
HSP78	PPI
SSA2	PPI
KSP1	PPI
NAF1	PPI
YLR255C	PPI
SSA1	PPI
