gene1	gene	score
LCB1	LCB2	0.666666666666667
LCB2	LCB1	0.666666666666667
LCB2	LCB1	0.444444444444445
LCB1	LCB2	0.444444444444445
LAG1	LAC1	0.444444444444444
LAC1	LAG1	0.444444444444444
LAG1	LIP1	0.333333333333333
LCB1	ORM2	0.333333333333333
LCB1	ORM1	0.333333333333333
LCB1	SLC1	0.333333333333333
LCB2	ORM2	0.333333333333333
LCB2	ORM2	0.222222222222222
LCB1	ORM2	0.222222222222222
LCB1	ORM1	0.222222222222222
LCB1	SLC1	0.222222222222222
LAC1	LAC1	0.222222222222222
LAC1	ERG11	0.222222222222222
LAC1	LIP1	0.222222222222222
LCB1	TSC3	0.222222222222222
LCB1	SAC1	0.222222222222222
LCB2	SAM1	0.222222222222222
LCB2	ECM29	0.222222222222222
LCB2	CSG2	0.222222222222222
LCB2	SAM2	0.222222222222222
LCB2	ORM1	0.222222222222222
LCB2	BMH2	0.222222222222222
LCB2	GEA2	0.222222222222222
LCB2	CRM1	0.222222222222222
LCB2	MIR1	0.222222222222222
LCB2	BMH1	0.222222222222222
LCB2	KAP104	0.222222222222222
TSC10	TPS1	0.222222222222222
BMH2	BMH1	0.222222222222222
BMH1	BMH2	0.222222222222222
KAP104	HRP1	0.222222222222222
LAC1	LAG1	0.197530864197531
LAG1	LAC1	0.197530864197531
BMH2	NTH1	0.17283950617284
CRM1	NUP42	0.17283950617284
CRM1	GSP1	0.17283950617284
BMH1	REG1	0.17283950617284
LCB2	SAM1	0.148148148148148
LCB2	ECM29	0.148148148148148
LCB2	CSG2	0.148148148148148
LCB2	SAM2	0.148148148148148
LCB2	ORM1	0.148148148148148
LCB2	BMH2	0.148148148148148
LCB2	GEA2	0.148148148148148
LCB2	CRM1	0.148148148148148
LCB2	MIR1	0.148148148148148
LCB2	BMH1	0.148148148148148
LCB2	KAP104	0.148148148148148
LCB1	TSC3	0.148148148148148
LCB1	SAC1	0.148148148148148
LAG1	LIP1	0.148148148148148
CRM1	LTV1	0.148148148148148
KAP104	GSP1	0.148148148148148
TPS1	TPS2	0.148148148148148
ECM29	RPN11	0.123456790123457
BMH2	FIN1	0.123456790123457
CRM1	NUP159	0.123456790123457
CRM1	YAP1	0.123456790123457
TPS1	TSL1	0.123456790123457
TPS1	TPS3	0.123456790123457
LIP1	LAG1	0.111111111111111
ORM2	LCB2	0.111111111111111
ORM2	LCB1	0.111111111111111
ORM1	LCB1	0.111111111111111
SLC1	LCB1	0.111111111111111
LAG1	DSC3	0.111111111111111
LAG1	ERG25	0.111111111111111
LAG1	NUP116	0.111111111111111
LAG1	SEC62	0.111111111111111
LAG1	WBP1	0.111111111111111
LAG1	CHS7	0.111111111111111
LAG1	SPC1	0.111111111111111
LAG1	CIA2	0.111111111111111
LAG1	AGP1	0.111111111111111
LAG1	ERP5	0.111111111111111
LAG1	SWP1	0.111111111111111
LAG1	AVT4	0.111111111111111
LAG1	MNN11	0.111111111111111
LAG1	CSG2	0.111111111111111
LAG1	COS8	0.111111111111111
LAG1	YPL150W	0.111111111111111
