gene1	gene	score
RNR1	RNR1	0.888888888888889
RNR1	SML1	0.777777777777778
ADK1	ADK1	0.777777777777778
YNK1	YNK1	0.666666666666667
IMD4	IMD3	0.666666666666667
IMD3	IMD4	0.666666666666667
RNR4	WTM2	0.444444444444444
RNR4	WTM1	0.444444444444444
RNR1	RNR1	0.444444444444444
FAP7	RPS14A	0.444444444444444
RNR3	RNR1	0.333333333333333
RNR4	SSA1	0.333333333333333
RNR2	RNR2	0.333333333333333
RNR2	WTM1	0.333333333333333
RNR2	RNR1	0.333333333333333
RNR2	WTM2	0.333333333333333
RNR1	RNR2	0.333333333333333
RNR1	RNR3	0.333333333333333
ADE4	ADE4	0.333333333333333
YNK1	YNK1	0.333333333333333
IMD2	IMD3	0.333333333333333
IMD3	IMD2	0.333333333333333
IMD3	IMD3	0.333333333333333
RNR3	YDJ1	0.222222222222222
RNR4	HSP82	0.222222222222222
RNR4	RNR4	0.222222222222222
RNR4	SSB1	0.222222222222222
RNR4	RPN11	0.222222222222222
RNR2	RNR2	0.222222222222222
RNR2	SSB1	0.222222222222222
RNR2	HSP104	0.222222222222222
RNR2	SSA1	0.222222222222222
RNR1	HSP26	0.222222222222222
RNR1	DBP8	0.222222222222222
RNR1	SSB2	0.222222222222222
RNR1	RPN11	0.222222222222222
ADE1	SSA2	0.222222222222222
ADE1	SSB2	0.222222222222222
ADE1	SSA1	0.222222222222222
ADE1	SSB1	0.222222222222222
ADE6	RPN11	0.222222222222222
ADE6	VAC14	0.222222222222222
ADE4	SSB2	0.222222222222222
ADE2	SSB2	0.222222222222222
ADE13	RPN11	0.222222222222222
YNK1	RPA135	0.222222222222222
YNK1	TEM1	0.222222222222222
YNK1	HHF1	0.222222222222222
GUA1	RPN11	0.222222222222222
GUA1	SSB2	0.222222222222222
GUA1	SSB1	0.222222222222222
ADE12	RSP5	0.222222222222222
IMD4	IMD2	0.222222222222222
IMD4	BUD32	0.222222222222222
IMD4	IMD4	0.222222222222222
IMD4	SSB2	0.222222222222222
IMD2	NSE4	0.222222222222222
IMD2	BUD32	0.222222222222222
IMD2	IMD4	0.222222222222222
