gene	node_type
PHO3	gene
PHO5	gene
PHO12	gene
PHO11	gene
DIA3	gene
THI80	gene
PHO2	PPI
SSB1	PPI
MRC1	PPI
MPM1	PPI
PDI1	PPI
SWI3	PPI
SOG2	PPI
GEX2	PPI
BET5	PPI
ATP3	PPI
BGL2	PPI
CHS1	PPI
SER3	PPI
SSA1	PPI
GAA1	PPI
UBC7	PPI
SSE1	PPI
RIF2	PPI
FZF1	PPI
HSP104	PPI
IRC7	PPI
GDH3	PPI
GUS1	PPI
SSA2	PPI
SSB2	PPI
BUD5	PPI
SAM35	PPI
YKE2	PPI
PFD1	PPI
GTT3	PPI
ENT3	PPI
SRB4	PPI
PRP40	PPI
SSM4	PPI
URN1	PPI
AUS1	PPI
RSP5	PPI
BAS1	PPI
SWI5	PPI
RGR1	PPI
SUP35	PPI
GAL11	PPI
SPT23	PPI
ALY2	PPI
UBC1	PPI
TRS85	PPI
TRS33	PPI
TRS120	PPI
SER33	PPI
CUE1	PPI
BUD27	PPI
MED4	PPI
CSE2	PPI
ROD1	PPI
KIC1	PPI
TRS130	PPI
TRS20	PPI
HSP82	PPI
FES1	PPI
STI1	PPI
GIM3	PPI
PAC10	PPI
MED2	PPI
SIN4	PPI
MED11	PPI
PGD1	PPI
RPO21	PPI
NUT1	PPI
SNU71	PPI
ART5	PPI
UBP2	PPI
MGA2	PPI
CSM3	PPI
MCM4	PPI
MNL1	PPI
SNF12	PPI
SNF5	PPI
ARP9	PPI
ARP7	PPI
TRS23	PPI
ATP2	PPI
SGT2	PPI
RPN11	PPI
SAM37	PPI
SAM50	PPI
MDM10	PPI
GIM5	PPI
SRB7	PPI
ROX3	PPI
MED1	PPI
GAL4	PPI
NAM8	PPI
SNP1	PPI
MUD1	PPI
UBX2	PPI
EAR1	PPI
UBC5	PPI
ART10	PPI
LSB1	PPI
LDB19	PPI
DIA1	PPI
RVS167	PPI
ALY1	PPI
UBI4	PPI
SSE2	PPI
TOF1	PPI
CDC45	PPI
ERO1	PPI
TAF14	PPI
SWI1	PPI
SWP82	PPI
TRS31	PPI
CPR7	PPI
CPR6	PPI
HSC82	PPI
RAP1	PPI
RPN10	PPI
TOM40	PPI
GGA2	PPI
VTI1	PPI
SSN2	PPI
LUC7	PPI
CDC48	PPI
AIM4	PPI
RUP1	PPI
RPB2	PPI
BSD2	PPI
ECM21	PPI
ACK1	PPI
UBE2D1	PPI
BUL2	PPI
ROG3	PPI
CSR2	PPI
RCR1	PPI
SSZ1	PPI
TRX2	PPI
SNF1	PPI
SNF4	PPI
TIF1	PPI
NPL3	PPI
BLM10	PPI
NCP1	PPI
TDH3	PPI
NUP60	PPI
SMT3	PPI
GLC7	PPI
BMH1	PPI
PGI1	PPI
CSN9	PPI
SEC27	PPI
REG1	PPI
CRM1	PPI
NMD3	PPI
TOM1	PPI
DPB2	PPI
MCM3	PPI
MCM2	PPI
HHF1	PPI
HHT1	PPI
RTT102	PPI
ATP1	PPI
TOM71	PPI
URA2	PPI
RVB1	PPI
NPL6	PPI
AHA1	PPI
PGK1	PPI
PRE1	PPI
GET4	PPI
SSC1	PPI
RPA135	PPI
RTN1	PPI
NSP1	PPI
FPR3	PPI
CNS1	PPI
URE2	PPI
CLN3	PPI
BRE5	PPI
CDC28	PPI
UBP3	PPI
ILV1	PPI
RPN1	PPI
SNL1	PPI
CAR2	PPI
TOM70	PPI
PRB1	PPI
RNR4	PPI
HMG2	PPI
CHC1	PPI
LYS5	PPI
YDJ1	PPI
ECM29	PPI
CBF5	PPI
MES1	PPI
UBP10	PPI
NUP57	PPI
NUP116	PPI
MLP1	PPI
GPI8	PPI
ESS1	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
AXL1	PPI
MIC60	PPI
GIM4	PPI
NIP100	PPI
APL4	PPI
TFG2	PPI
TFG1	PPI
SSN3	PPI
RPB3	PPI
SOH1	PPI
SNU56	PPI
PRP42	PPI
STO1	PPI
YHC1	PPI
CBC2	PPI
PRP39	PPI
SMB1	PPI
