gene	node_type
URA10	gene
URA5	gene
URA3	gene
URA4	gene
CPA1	gene
CPA2	gene
MNE1	PPI
PAC10	PPI
SSB1	PPI
NUP1	PPI
SSZ1	PPI
ACC1	PPI
RPT5	PPI
SHE2	PPI
RPN11	PPI
UBP10	PPI
PPZ1	PPI
SSB2	PPI
NHP6A	PPI
TGL2	PPI
SWA2	PPI
NTR2	PPI
RPN1	PPI
GCD7	PPI
PFK26	PPI
RNQ1	PPI
SDD2	PPI
GPM1	PPI
HSP82	PPI
MMS22	PPI
HXK1	PPI
ECM10	PPI
GIM3	PPI
CCT8	PPI
HSP12	PPI
FUR4	PPI
SSE2	PPI
GIM4	PPI
HSP42	PPI
YDJ1	PPI
SSA2	PPI
CCT4	PPI
SSE1	PPI
GIM5	PPI
HSC82	PPI
SSA1	PPI
TOP2	PPI
SAK1	PPI
JSN1	PPI
PHO13	PPI
SAN1	PPI
NOP56	PPI
RPN10	PPI
CKB2	PPI
SRB4	PPI
NCE103	PPI
HHF1	PPI
SWM1	PPI
UBC7	PPI
SSC1	PPI
TCP1	PPI
ESC1	PPI
ERG29	PPI
URA2	PPI
FAS1	PPI
RFC2	PPI
YGK3	PPI
CDC3	PPI
ARP2	PPI
MEK1	PPI
PHO85	PPI
SNF1	PPI
RPC40	PPI
SUI1	PPI
ILV1	PPI
RPT3	PPI
GFA1	PPI
YOR302W	PPI
PSA1	PPI
RAD51	PPI
URA7	PPI
DBP8	PPI
HRR25	PPI
SIT4	PPI
RVB2	PPI
ATG12	PPI
CMR1	PPI
YKU80	PPI
VAM6	PPI
