gene	node_type
URA10	gene
URA5	gene
URA3	gene
URA4	gene
CPA1	gene
CPA2	gene
RPN11	PPI
PHO13	PPI
SSB2	PPI
RAD51	PPI
MNE1	PPI
PAC10	PPI
SSB1	PPI
NUP1	PPI
SSZ1	PPI
ACC1	PPI
RPT5	PPI
SHE2	PPI
UBP10	PPI
PPZ1	PPI
NHP6A	PPI
TGL2	PPI
SWA2	PPI
NTR2	PPI
RPN1	PPI
GCD7	PPI
PFK26	PPI
RNQ1	PPI
SDD2	PPI
GPM1	PPI
HSP82	PPI
MMS22	PPI
HXK1	PPI
ECM10	PPI
GIM3	PPI
CCT8	PPI
HSP12	PPI
FUR4	PPI
SSE2	PPI
GIM4	PPI
HSP42	PPI
YDJ1	PPI
SSA2	PPI
CCT4	PPI
SSE1	PPI
GIM5	PPI
HSC82	PPI
SSA1	PPI
TOP2	PPI
SAK1	PPI
JSN1	PPI
SAN1	PPI
NOP56	PPI
RPN10	PPI
CKB2	PPI
SRB4	PPI
NCE103	PPI
HHF1	PPI
SWM1	PPI
UBC7	PPI
SSC1	PPI
TCP1	PPI
ESC1	PPI
ERG29	PPI
URA2	PPI
FAS1	PPI
RFC2	PPI
YGK3	PPI
CDC3	PPI
ARP2	PPI
MEK1	PPI
PHO85	PPI
SNF1	PPI
RPC40	PPI
SUI1	PPI
ILV1	PPI
RPT3	PPI
GFA1	PPI
YOR302W	PPI
PSA1	PPI
URA7	PPI
DBP8	PPI
HRR25	PPI
SIT4	PPI
RVB2	PPI
ATG12	PPI
CMR1	PPI
YKU80	PPI
VAM6	PPI
SCL1	PPI
RAD23	PPI
PRE5	PPI
RPN13	PPI
PRE8	PPI
PRE9	PPI
PRE6	PPI
PUP2	PPI
RAD55	PPI
SRS2	PPI
PRE4	PPI
PUP1	PPI
UBI4	PPI
PRE7	PPI
PRE2	PPI
PUP3	PPI
PRE3	PPI
DSK2	PPI
ECM29	PPI
NAS6	PPI
RAD57	PPI
SIS2	PPI
UBP6	PPI
RPT4	PPI
RPN5	PPI
GCD2	PPI
TAH1	PPI
RPN9	PPI
RPT1	PPI
RGR1	PPI
HAT1	PPI
TIM23	PPI
PCL7	PPI
PCL6	PPI
RPA190	PPI
TIF5	PPI
RPT6	PPI
SAP190	PPI
SAP185	PPI
PIH1	PPI
PEP5	PPI
RPN14	PPI
CSM2	PPI
SPP382	PPI
CNS1	PPI
CPR6	PPI
AHA1	PPI
SUP35	PPI
RPN12	PPI
GAL11	PPI
HTZ1	PPI
HAT2	PPI
ZIM17	PPI
SHS1	PPI
ARC19	PPI
ARC35	PPI
LAS17	PPI
PCL10	PPI
PCL8	PPI
PCL1	PPI
RPA135	PPI
PRT1	PPI
YPT7	PPI
VPS16	PPI
NAS2	PPI
HSM3	PPI
RPN6	PPI
RPN3	PPI
PPT1	PPI
NOP1	PPI
SPT16	PPI
MED4	PPI
CSE2	PPI
GCN5	PPI
ESA1	PPI
BDF1	PPI
PSH1	PPI
CUE1	PPI
MSS51	PPI
RFC1	PPI
RFC4	PPI
RET1	PPI
TIF34	PPI
PEP3	PPI
OLA1	PPI
HEF3	PPI
ENO2	PPI
TIF1	PPI
FBA1	PPI
ACT1	PPI
ADH1	PPI
THS1	PPI
KRS1	PPI
RPS5	PPI
HSP104	PPI
YEF3	PPI
ERG20	PPI
TEF1	PPI
EFT1	PPI
CDC19	PPI
ASN1	PPI
TEF4	PPI
RPL5	PPI
RPS2	PPI
LEU1	PPI
SEC18	PPI
ENO1	PPI
YHB1	PPI
LYS21	PPI
CAJ1	PPI
FAS2	PPI
HTS1	PPI
GND1	PPI
KAP123	PPI
RPS11A	PPI
PAB1	PPI
PDC1	PPI
ALD6	PPI
RPS0A	PPI
PGK1	PPI
TAL1	PPI
TSA1	PPI
PMA1	PPI
DPS1	PPI
SAM1	PPI
BMH1	PPI
SER1	PPI
SAH1	PPI
TDH1	PPI
DDI1	PPI
SEC53	PPI
CDC60	PPI
VAS1	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
FES1	PPI
ENP1	PPI
MRT4	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
HED1	PPI
RFA1	PPI
RDH54	PPI
