gene	node_type
PHS1	gene
TSC13	gene
IFA38	gene
ELO2	gene
ELO3	gene
ELO1	gene
PEX29	PPI
ZRG17	PPI
SPC1	PPI
PDR3	PPI
SEC62	PPI
USA1	PPI
ERJ5	PPI
PAR32	PPI
CRP1	PPI
TRM7	PPI
IKS1	PPI
OLE1	PPI
YAR028W	PPI
SPT23	PPI
SMX3	PPI
DAD2	PPI
PMT3	PPI
MRPL44	PPI
DID4	PPI
GTR1	PPI
SRF1	PPI
HFD1	PPI
GPC1	PPI
HSP10	PPI
NUR1	PPI
GAP1	PPI
YPR071W	PPI
NFI1	PPI
RRI1	PPI
SWA2	PPI
PRM3	PPI
UIP3	PPI
SKG6	PPI
MEP2	PPI
MPS3	PPI
GTT1	PPI
ERV29	PPI
YOP1	PPI
PBY1	PPI
GMC1	PPI
CTR3	PPI
SSB1	PPI
GAS2	PPI
GAS3	PPI
OST4	PPI
GCN1	PPI
YHR140W	PPI
COS8	PPI
SAM2	PPI
GSF2	PPI
YET1	PPI
ERG25	PPI
STE24	PPI
ALG1	PPI
OST1	PPI
LAC1	PPI
YPL264C	PPI
KAP104	PPI
BZZ1	PPI
AVT4	PPI
TUB1	PPI
ERP4	PPI
VMA16	PPI
YDL206W	PPI
YOL075C	PPI
EMP24	PPI
PHO88	PPI
FAS1	PPI
FRT1	PPI
NVJ1	PPI
TAT1	PPI
NSG1	PPI
HSP60	PPI
FRS1	PPI
HSP82	PPI
PHO86	PPI
BSD2	PPI
YDC1	PPI
SRP102	PPI
GPI8	PPI
CSG2	PPI
PMT7	PPI
GCD6	PPI
GCD2	PPI
GCD1	PPI
PMT2	PPI
YEL1	PPI
ARP3	PPI
COF1	PPI
KSP1	PPI
YRO2	PPI
UGA4	PPI
SUR2	PPI
TNA1	PPI
YHL042W	PPI
EPS1	PPI
HXT8	PPI
HXT9	PPI
MMP1	PPI
EMP46	PPI
SEC72	PPI
SEC61	PPI
PRM1	PPI
GPI2	PPI
GUP2	PPI
TPO3	PPI
OPT2	PPI
ARR3	PPI
HHT1	PPI
HMO1	PPI
ARC35	PPI
FUN26	PPI
YPC1	PPI
VBA2	PPI
TLG1	PPI
PMP2	PPI
ERP5	PPI
CHS7	PPI
QDR1	PPI
SEC11	PPI
SAC1	PPI
CSC1	PPI
ERV41	PPI
HMG1	PPI
YMR279C	PPI
GAS4	PPI
YPR003C	PPI
GIS2	PPI
SSA3	PPI
SSB2	PPI
GCD7	PPI
GCN3	PPI
YRA1	PPI
PMA1	PPI
CDC3	PPI
CRN1	PPI
POR1	PPI
RPN11	PPI
ADP1	PPI
MCH1	PPI
WBP1	PPI
EMP47	PPI
VPS73	PPI
HIP1	PPI
COS6	PPI
EPT1	PPI
COS5	PPI
AVT3	PPI
GEX2	PPI
TPO1	PPI
FPS1	PPI
THI73	PPI
EMP70	PPI
PHO84	PPI
SWP1	PPI
CPT1	PPI
PHO91	PPI
CTR1	PPI
UBP3	PPI
HMT1	PPI
YDJ1	PPI
SSA2	PPI
ECM10	PPI
SLM1	PPI
MTC1	PPI
KIN4	PPI
MAL31	PPI
AGP1	PPI
PMP1	PPI
BAP3	PPI
GNP1	PPI
COS4	PPI
YJR015W	PPI
MCD4	PPI
POM33	PPI
ERG3	PPI
COS2	PPI
FET3	PPI
PDR18	PPI
HXT11	PPI
SAM3	PPI
CAN1	PPI
YIP1	PPI
SSH1	PPI
SGE1	PPI
VTH2	PPI
ARE2	PPI
ERD1	PPI
SSA1	PPI
ALG11	PPI
MMM1	PPI
CDC19	PPI
HSP26	PPI
RSB1	PPI
NULL	PPI
ERG2	PPI
RVS161	PPI
ATG8	PPI
AQY1	PPI
PMP3	PPI
TAT2	PPI
POL30	PPI
MAL11	PPI
HXT1	PPI
DED1	PPI
CDC7	PPI
ATG9	PPI
BST1	PPI
ERG11	PPI
POM34	PPI
GAS5	PPI
NHX1	PPI
ATG27	PPI
FKS1	PPI
HSP104	PPI
GPI16	PPI
KEX2	PPI
MPH2	PPI
ERV14	PPI
FEN2	PPI
PHO85	PPI
PDR5	PPI
RPN1	PPI
RPN10	PPI
SHO1	PPI
TEF1	PPI
SSE1	PPI
TOM1	PPI
MPH3	PPI
ULP2	PPI
YCK2	PPI
NEO1	PPI
YIP3	PPI
SNL1	PPI
ALG5	PPI
AUR1	PPI
PRM8	PPI
BCK1	PPI
CHS1	PPI
