gene	node_type
PNP1	gene
SSB2	PPI
SRP1	PPI
SSA2	PPI
SSE2	PPI
CCT4	PPI
PFD1	PPI
HSP82	PPI
SSA1	PPI
SSB1	PPI
SSE1	PPI
RPN11	PPI
TAH1	PPI
RPN10	PPI
CSE1	PPI
CNS1	PPI
SUP35	PPI
CBC2	PPI
ULP1	PPI
PPT1	PPI
TPS1	PPI
TYR1	PPI
DHH1	PPI
EFT1	PPI
RPC40	PPI
NOC4	PPI
TPD3	PPI
RBG1	PPI
CKS1	PPI
ARX1	PPI
ZUO1	PPI
SDO1	PPI
SSC1	PPI
FES1	PPI
RPT5	PPI
ENP1	PPI
MRT4	PPI
SSZ1	PPI
BMH2	PPI
ARD1	PPI
NAP1	PPI
AHP1	PPI
RGP1	PPI
UTP4	PPI
UTP6	PPI
DBP2	PPI
LSM12	PPI
ANR2	PPI
ILV2	PPI
RPF2	PPI
RRP6	PPI
YDJ1	PPI
SGT1	PPI
STI1	PPI
STO1	PPI
CCT3	PPI
STE11	PPI
HCH1	PPI
SLT2	PPI
SGT2	PPI
ESA1	PPI
OTU1	PPI
CCR4	PPI
TOD6	PPI
RVS161	PPI
VHS1	PPI
SKP1	PPI
RPL27B	PPI
PRO3	PPI
RNR1	PPI
RPL9A	PPI
LYS5	PPI
CYS4	PPI
YGR210C	PPI
RPL8A	PPI
EFM1	PPI
AAP1	PPI
GRE3	PPI
YIR035C	PPI
MET14	PPI
GFA1	PPI
FRA1	PPI
RPS0B	PPI
FRS1	PPI
STM1	PPI
SKG3	PPI
PWP1	PPI
YEF3	PPI
KAP95	PPI
SFP1	PPI
YMR196W	PPI
TPS3	PPI
UBP15	PPI
PMS1	PPI
RIA1	PPI
FOL1	PPI
SOL1	PPI
TRM112	PPI
SPE2	PPI
YOL057W	PPI
MET22	PPI
SDD3	PPI
CDC33	PPI
MEX67	PPI
RPL7B	PPI
CLN2	PPI
KEL3	PPI
HTS1	PPI
SEC20	PPI
RPN3	PPI
KIN1	PPI
YPT32	PPI
MSS51	PPI
MRPL10	PPI
ATP11	PPI
MRP51	PPI
MRPL40	PPI
SAM2	PPI
APL6	PPI
SEC28	PPI
MTC2	PPI
LSP1	PPI
HTB2	PPI
HHF1	PPI
MAK5	PPI
TUP1	PPI
NOP1	PPI
TMA64	PPI
HTB1	PPI
TFC6	PPI
TFC4	PPI
RSC4	PPI
CDC5	PPI
BRX1	PPI
SAS5	PPI
NAN1	PPI
YBL036C	PPI
PPH22	PPI
RPN9	PPI
GLY1	PPI
UGA1	PPI
PRI1	PPI
MUD2	PPI
CLA4	PPI
BUD3	PPI
MMS22	PPI
SPC72	PPI
DUF1	PPI
VPS52	PPI
YAF9	PPI
PKC1	PPI
OLA1	PPI
TEF1	PPI
NAT1	PPI
RDI1	PPI
DET1	PPI
AHA1	PPI
YDR341C	PPI
RMT2	PPI
TUB2	PPI
FOL2	PPI
PCL7	PPI
ALB1	PPI
SAM1	PPI
CPR6	PPI
GSY2	PPI
DUS3	PPI
VIP1	PPI
CNA1	PPI
CMP2	PPI
DAK1	PPI
RPL6A	PPI
ADE4	PPI
GIM3	PPI
ACC1	PPI
RIB2	PPI
WRS1	PPI
TRM13	PPI
RPS7A	PPI
GLN4	PPI
RPL5	PPI
SRP72	PPI
NEW1	PPI
SCD6	PPI
GPH1	PPI
SHC1	PPI
GLO3	PPI
MNR2	PPI
CCW12	PPI
SST2	PPI
RAS1	PPI
TFC3	PPI
ATP3	PPI
MRPL9	PPI
RPB2	PPI
SEC26	PPI
CDC12	PPI
ATG7	PPI
SNX4	PPI
ICT1	PPI
SNZ2	PPI
SEC23	PPI
RPN4	PPI
PRP9	PPI
MSH6	PPI
GCN4	PPI
RAD3	PPI
BMH1	PPI
BMT5	PPI
UTP18	PPI
SWD2	PPI
YRA2	PPI
NUP133	PPI
RTT109	PPI
VPS75	PPI
RPA190	PPI
PUS1	PPI
POL5	PPI
CKA1	PPI
ADE16	PPI
TIF34	PPI
TDA2	PPI
GYL1	PPI
PRE1	PPI
SNF1	PPI
RFA1	PPI
ADE1	PPI
YBL055C	PPI
VMA2	PPI
AMN1	PPI
RPS9B	PPI
MSI1	PPI
YCP4	PPI
HCM1	PPI
PAT1	PPI
SIT4	PPI
RRP42	PPI
CDC37	PPI
SVF1	PPI
RPL12A	PPI
NPL3	PPI
MCM3	PPI
SAH1	PPI
LPD1	PPI
RPL7A	PPI
BOL2	PPI
ADE5,7	PPI
TDH3	PPI
PHO81	PPI
BUD32	PPI
