gene1	gene	score
ERG27	ERG7	0.333333333333333
ERG27	ERG28	0.333333333333333
ERG27	ERG25	0.333333333333333
ERG26	ERG28	0.333333333333333
ERG27	CDC53	0.222222222222222
ERG26	MCM7	0.222222222222222
ERG26	ERG25	0.222222222222222
CDC53	MET30	0.197530864197531
MCM7	SLD5	0.197530864197531
MCM7	CDC45	0.197530864197531
CDC53	UFO1	0.17283950617284
CDC53	DCN1	0.123456790123457
MCM7	MCM5	0.123456790123457
MCM7	CDC6	0.123456790123457
MCM7	MCM10	0.123456790123457
ERG7	ERG27	0.111111111111111
ERG28	ERG6	0.111111111111111
ERG28	ERG26	0.111111111111111
ERG28	ERG25	0.111111111111111
ERG28	ERG27	0.111111111111111
ERG25	ERG28	0.111111111111111
ERG25	ERG27	0.111111111111111
ERG24	ERG28	0.111111111111111
ERG24	ERG26	0.111111111111111
ERG24	SAS10	0.111111111111111
ERG24	TPK3	0.111111111111111
ERG24	ERG3	0.111111111111111
ERG24	ERG27	0.111111111111111
ERG24	BZZ1	0.111111111111111
ERG24	ERG24	0.111111111111111
ERG24	ERG11	0.111111111111111
ERG24	ERG1	0.111111111111111
ERG24	PRP40	0.111111111111111
ERG24	SSB1	0.111111111111111
ERG24	ERG6	0.111111111111111
ERG24	ERG4	0.111111111111111
ERG24	ERG2	0.111111111111111
ERG27	ADP1	0.111111111111111
ERG27	PDR10	0.111111111111111
ERG27	YPT7	0.111111111111111
ERG27	ERG26	0.111111111111111
ERG27	ERG27	0.111111111111111
ERG27	ERG3	0.111111111111111
ERG27	ERG5	0.111111111111111
ERG27	ERG9	0.111111111111111
ERG27	FAT1	0.111111111111111
ERG27	ERG11	0.111111111111111
ERG27	UBC7	0.111111111111111
ERG27	YEH1	0.111111111111111
ERG27	ERG24	0.111111111111111
ERG27	ERG4	0.111111111111111
ERG27	ERG6	0.111111111111111
ERG27	SEC27	0.111111111111111
ERG27	SNA3	0.111111111111111
ERG27	ACF2	0.111111111111111
ERG27	SSB2	0.111111111111111
ERG26	HSP104	0.111111111111111
ERG26	ERG3	0.111111111111111
ERG26	TUB2	0.111111111111111
ERG26	UBC9	0.111111111111111
ERG26	RPN11	0.111111111111111
ERG26	ERG7	0.111111111111111
ERG26	ORM2	0.111111111111111
ERG26	ERG1	0.111111111111111
ERG26	ERG9	0.111111111111111
ERG26	COX20	0.111111111111111
ERG26	MMS22	0.111111111111111
ERG26	ERG24	0.111111111111111
ERG26	ERG4	0.111111111111111
ERG26	ERG27	0.111111111111111
ERG26	SSB2	0.111111111111111
ERG26	ERP1	0.111111111111111
ERG26	CRM1	0.111111111111111
ERG26	NFI1	0.111111111111111
ERG26	ERG2	0.111111111111111
ERG26	ERG11	0.111111111111111
ERG26	ERV25	0.111111111111111
